,Token,Relation,Head,Children
32078,product,pobj,next,"[great,  ]"
32079, ,dep,product,[]
32080,easy,amod,sound,[]
32081,set,amod,sound,[  ]
32082,  ,dep,set,[]
32083,great,amod,sound,[]
32084,sound,ROOT,sound,"[easy, set, great,  ]"
32085, ,dep,sound,[]
32086,far,advmod,s,[ ]
32087, ,dep,far,[]
32088,s,ROOT,s,"[far, useful, trying, use, alexa]"
32089,useful,acomp,s,[  ]
32090,  ,dep,useful,[]
32091,trying,advcl,s,[learn]
32092,learn,xcomp,trying,[way]
32093,way,dobj,learn,[]
32094,use,advcl,s,[]
32095,alexa,npadvmod,s,[ ]
32096, ,dep,alexa,[]
32097,work,intj,thought,[]
32098,better,advmod,thought,[]
32099,thought,ROOT,thought,"[work, better]"
32100,loved,ROOT,loved,"[  , look]"
32101,  ,dep,loved,[]
32102,look,xcomp,loved,[good]
32103,good,acomp,look,[ ]
32104, ,dep,good,[]
32105,great,amod,shipping,[]
32106,product,nmod,shipping,[]
32107,fast,amod,shipping,[]
32108,shipping,nsubj,thank,"[great, product, fast,   ]"
32109,  ,dep,shipping,[]
32110,thank,ROOT,thank,[shipping]
32111, ,dep,s,[]
32112,s,dep,fun,[ ]
32113,fun,nsubj,imagine,[s]
32114,imagine,ROOT,imagine,"[fun, question, option, cool, music]"
32115,household,compound,management,[]
32116,management,compound,option,[household]
32117,option,compound,question,"[management,     ]"
32118,    ,dep,option,[]
32119,info,compound,question,[]
32120,question,dobj,imagine,"[option, info]"
32121,baffle,nmod,option,[]
32122,alexa,compound,option,[  ]
32123,  ,dep,alexa,[]
32124,option,punct,imagine,"[baffle, alexa]"
32125,cool,punct,imagine,[  ]
32126,  ,dep,cool,[]
32127,esp,amod,music,[  ]
32128,  ,dep,esp,[]
32129,music,dobj,imagine,"[esp, related]"
32130,related,acl,music,[   ]
32131,   ,dep,related,[]
32132,easy,amod,work,[]
32133,set,amod,work,[]
32134,work,nsubj,supposed,"[easy, set, like]"
32135,like,prep,work,"[ , s]"
32136, ,dep,like,[]
32137,s,pobj,like,[]
32138,supposed,ROOT,supposed,"[work,  ]"
32139, ,dep,supposed,[]
32140,love,nsubj,set,[  ]
32141,  ,dep,love,[]
32142,easy,advmod,set,[]
32143,set,ROOT,set,"[love, easy, up, request, anything, work]"
32144,up,prt,set,[]
32145,love,compound,request,[]
32146,request,dobj,set,[love]
32147,anything,dobj,set,[]
32148,mind,compound,work,[]
32149,work,dobj,set,"[mind, giving]"
32150,giving,acl,work,[information]
32151,useful,amod,information,[]
32152,information,dobj,giving,"[useful,  ]"
32153, ,dep,information,[]
32154,great,amod,skill,[]
32155,product,compound,skill,[  ]
32156,  ,dep,product,[]
32157,skill,nsubj,needed,"[great, product]"
32158,needed,ROOT,needed,"[skill,   , love]"
32159,  ,dep,needed,[]
32160,love,dobj,needed,[ ]
32161, ,dep,love,[]
32162,first,advmod,loving,[]
32163,smart,amod,buy,[]
32164,buy,nsubj,loving,"[smart,    ]"
32165,   ,dep,buy,[]
32166,loving,ROOT,loving,"[first, buy, thing, alexa]"
32167,great,amod,thing,[]
32168,thing,dobj,loving,[great]
32169,alexa,npadvmod,loving,[ ]
32170, ,dep,alexa,[]
32171,thing,nsubj,got,[awesome]
32172,awesome,amod,thing,[  ]
32173,  ,dep,awesome,[]
32174,got,ROOT,got,"[thing, purchased, bought, dented]"
32175,prime,amod,day,[]
32176,day,nmod,deal,[prime]
32177,great,amod,deal,[]
32178,deal,nsubj,purchased,"[day, great,   ]"
32179,  ,dep,deal,[]
32180,wish,aux,purchased,[]
32181,purchased,ccomp,got,"[deal, wish, two]"
32182,two,dobj,purchased,[  ]
32183,  ,dep,two,[]
32184,also,advmod,bought,[]
32185,bought,dep,got,"[also, sound]"
32186,echo,compound,version,[]
32187,show,compound,version,[]
32188,version,compound,sound,"[echo, show,   ]"
32189,  ,dep,version,[]
32190,sound,dobj,bought,"[version, echo]"
32191,nearly,advmod,good,[]
32192,good,amod,echo,[nearly]
32193,echo,dobj,sound,"[good, plus, show]"
32194,plus,cc,echo,[  ]
32195,  ,dep,plus,[]
32196,echo,compound,show,[]
32197,show,conj,echo,[echo]
32198,came,auxpass,dented,[]
32199,dented,dep,got,"[came,   , exchanging, getting]"
32200,  ,dep,dented,[]
32201,exchanging,xcomp,dented,"[  , like]"
32202,  ,dep,exchanging,[]
32203,like,prep,exchanging,[screen]
32204,screen,pobj,like,[]
32205,many,amod,feature,[]
32206,feature,nsubj,getting,[many]
32207,getting,advcl,dented,"[feature, refund, still, price]"
32208,refund,dobj,getting,[  ]
32209,  ,dep,refund,[]
32210,still,advmod,getting,[]
32211,worth,amod,price,[]
32212,price,advcl,getting,"[worth,  ]"
32213, ,dep,price,[]
32214,great,amod,friend,[]
32215,new,amod,friend,[]
32216,friend,ROOT,friend,"[great, new]"
32217,coop,compound,product,[]
32218,product,ROOT,product,"[coop, us]"
32219,many,amod,us,[]
32220,us,appos,product,"[many, including]"
32221,including,prep,us,[device]
32222,smart,amod,device,[]
32223,device,pobj,including,"[smart, throughout]"
32224,throughout,prep,device,[home]
32225,home,pobj,throughout,[]
32226,easy,amod,setup,[]
32227,setup,nsubj,rate,[easy]
32228,great,amod,sound,[]
32229,sound,nsubj,rate,"[great,   ]"
32230,  ,dep,sound,[]
32231,would,aux,rate,[]
32232,rate,csubj,office,"[setup, sound, would, unit]"
32233,unit,dobj,rate,[          ]
32234,          ,dep,unit,[]
32235,must,aux,office,[]
32236,office,ROOT,office,"[rate, must, home, l, looking, add, lock]"
32237,home,advmod,office,[  ]
32238,  ,dep,home,[]
32239,l,punct,office,[]
32240,looking,advcl,office,[]
32241,add,conj,office,[device]
32242,device,dobj,add,[  ]
32243,  ,dep,device,[]
32244,lock,conj,office,"[  , light, home]"
32245,  ,dep,lock,[]
32246,light,dobj,lock,[  ]
32247,  ,dep,light,[]
32248,home,dobj,lock,[ ]
32249, ,dep,home,[]
32250,better,advmod,expected,[]
32251,expected,ROOT,expected,"[better,  ]"
32252, ,dep,expected,[]
32253,wonderful,nsubj,happened,[  ]
32254,  ,dep,wonderful,[]
32255,still,advmod,learning,[]
32256,learning,csubj,happened,"[still, use, time, setting]"
32257,use,dobj,learning,"[  , heck]"
32258,  ,dep,use,[]
32259,heck,dobj,use,[]
32260,time,npadvmod,learning,[]
32261,setting,xcomp,learning,[  ]
32262,  ,dep,setting,[]
32263,happened,ROOT,happened,"[wonderful, learning, somehow]"
32264,somehow,advmod,happened,[ ]
32265, ,dep,somehow,[]
32266, ,dep,s,[]
32267,s,ROOT,s,"[ , purchase]"
32268,fantastic,amod,purchase,[  ]
32269,  ,dep,fantastic,[]
32270,happy,amod,purchase,[]
32271,purchase,dobj,s,"[fantastic, happy,  ]"
32272, ,dep,purchase,[]
32273,love,ROOT,love,[     ]
32274,     ,dep,love,[]
32275,like,intj,play,[]
32276,list,compound,ability,[]
32277,ability,compound,music,[list]
32278,music,nsubj,play,[ability]
32279,play,nsubj,create,"[like, music,   , like]"
32280,  ,dep,play,[]
32281,like,prep,play,[]
32282,create,ROOT,create,"[play, playlist, without]"
32283,playlist,dobj,create,[]
32284,without,prep,create,[using]
32285,using,pcomp,without,"[app, phone, also, like, done]"
32286,app,dobj,using,[]
32287,even,advmod,song,[]
32288,alexa,compound,song,[]
32289,play,compound,song,[]
32290,song,compound,phone,"[even, alexa, play]"
32291,tablet,compound,phone,[]
32292,phone,dobj,using,"[song, tablet,   ]"
32293,  ,dep,phone,[]
32294,also,advmod,using,[]
32295,like,prep,using,[]
32296,alex,compound,print,[]
32297,print,nsubj,done,[alex]
32298,done,ccomp,using,"[print, app]"
32299,app,dobj,done,[ ]
32300, ,dep,app,[]
32301,great,amod,question,[]
32302,bundle,compound,fun,[]
32303,fun,compound,game,"[bundle,   ]"
32304,  ,dep,fun,[]
32305,music,compound,game,[  ]
32306,  ,dep,music,[]
32307,game,compound,question,"[fun, music,   ]"
32308,  ,dep,game,[]
32309,question,nsubj,turn,"[great, game, etc]"
32310,etc,prep,question,[  ]
32311,  ,dep,etc,[]
32312,luv,nsubj,turn,[]
32313,turn,ROOT,turn,"[question, luv, room]"
32314,smart,amod,purchase,[]
32315,light,compound,purchase,[  ]
32316,  ,dep,light,[]
32317,purchase,compound,room,"[smart, light,   ]"
32318,  ,dep,purchase,[]
32319,smart,amod,room,[]
32320,light,amod,lamp,[]
32321,lamp,compound,room,[light]
32322,living,compound,room,[]
32323,room,compound,room,[]
32324,room,dobj,turn,"[purchase, smart, lamp, living, room,  ]"
32325, ,dep,room,[]
32326,first,amod,time,[]
32327,time,ROOT,time,"[first, using]"
32328,using,acl,time,[love]
32329,alexa,nmod,love,[]
32330,far,amod,love,[]
32331,love,dobj,using,"[alexa, far,  ]"
32332, ,dep,love,[]
32333,little,amod,product,[]
32334,hard,amod,instruction,[]
32335,follow,compound,instruction,[]
32336,instruction,compound,product,"[hard, follow,   ]"
32337,  ,dep,instruction,[]
32338,great,amod,product,[]
32339,product,ROOT,product,"[little, instruction, great]"
32340,replacement,nsubj,reauthorize,"[  , set]"
32341,  ,dep,replacement,[]
32342,really,advmod,easy,[]
32343,easy,advmod,set,[really]
32344,set,acl,replacement,"[easy,   ]"
32345,  ,dep,set,[]
32346,reauthorize,ROOT,reauthorize,"[replacement, item, work, clear]"
32347,smart,amod,item,[]
32348,item,dobj,reauthorize,[smart]
32349,work,conj,reauthorize,[instruction]
32350,new,amod,hub,[]
32351,hub,compound,installation,"[new,   ]"
32352,  ,dep,hub,[]
32353,installation,nmod,instruction,[hub]
32354,easy,amod,instruction,[]
32355,instruction,dobj,work,"[installation, easy]"
32356,clear,advcl,reauthorize,[ ]
32357, ,dep,clear,[]
32358,really,advmod,cool,[]
32359,cool,amod,game,"[really, stuff]"
32360,device,compound,ton,[]
32361,ton,compound,stuff,[device]
32362,stuff,dobj,cool,"[ton,   ]"
32363,  ,dep,stuff,[]
32364,fun,compound,game,[]
32365,game,nsubj,make,"[cool, fun, like]"
32366,like,prep,game,[switch]
32367,jeopardy,npadvmod,used,[  ]
32368,  ,dep,jeopardy,[]
32369,used,amod,switch,[jeopardy]
32370,set,amod,switch,[]
32371,smart,amod,light,[]
32372,bulb,compound,light,[]
32373,light,compound,switch,"[smart, bulb]"
32374,switch,pobj,like,"[used, set, light,   ]"
32375,  ,dep,switch,[]
32376,make,ROOT,make,"[game, sure, make]"
32377,sure,ccomp,make,[corresponds]
32378,ge,compound,stuff,[]
32379,stuff,nsubj,corresponds,[ge]
32380,corresponds,ccomp,sure,"[stuff, hub]"
32381,particular,amod,hub,[]
32382,hub,dobj,corresponds,"[particular,   ]"
32383,  ,dep,hub,[]
32384,make,ccomp,make,[run]
32385,run,xcomp,make,"[back, exchange]"
32386,back,advmod,run,[]
32387,store,compound,exchange,[]
32388,exchange,dobj,run,"[store,  ]"
32389, ,dep,exchange,[]
32390,  ,dep,waiting,[]
32391,waiting,ROOT,waiting,"[  , echo, plus, enjoying, making]"
32392,prime,amod,day,[]
32393,day,compound,purchase,[prime]
32394,purchase,compound,echo,[day]
32395,echo,dobj,waiting,[purchase]
32396,plus,cc,waiting,[    ]
32397,    ,dep,plus,[]
32398,enjoying,conj,waiting,[learning]
32399,learning,xcomp,enjoying,[sonos]
32400,alexa,compound,sonos,[  ]
32401,  ,dep,alexa,[]
32402,new,amod,sonos,[]
32403,sonos,dobj,learning,"[alexa, new]"
32404,one,nummod,dot,[]
32405,echo,compound,dot,[]
32406,dot,compound,making,"[one, echo,   ]"
32407,  ,dep,dot,[]
32408,making,advcl,waiting,"[dot, love]"
32409,really,advmod,nice,[]
32410,nice,amod,love,[really]
32411,well,advmod,integrated,[]
32412,integrated,amod,love,[well]
32413,smart,amod,love,[]
32414,home,compound,love,[  ]
32415,  ,dep,home,[]
32416,love,dobj,making,"[nice, integrated, smart, home,  ]"
32417, ,dep,love,[]
32418,n,punct,t,[]
32419,t,nmod,family,"[n, long]"
32420,long,advmod,t,"[  , far]"
32421,  ,dep,long,[]
32422,far,advmod,long,[]
32423,whole,amod,family,[]
32424,family,nsubj,enjoying,"[t, whole]"
32425,enjoying,ROOT,enjoying,"[family, asking]"
32426,asking,xcomp,enjoying,[question]
32427,alexa,amod,question,[]
32428,question,dobj,asking,"[alexa,  ]"
32429, ,dep,question,[]
32430,although,mark,disappointed,[]
32431,second,amod,device,[]
32432,echo,compound,device,[]
32433,device,nsubj,disappointed,"[second, echo,   ]"
32434,  ,dep,device,[]
32435,still,advmod,disappointed,[]
32436,disappointed,advcl,purchased,"[although, device, still]"
32437,almost,advmod,instructions,[]
32438,documentation,compound,instructions,[]
32439,instructions,nsubj,purchased,"[almost, documentation]"
32440,many,amod,device,[]
32441,function,compound,device,[]
32442,device,nsubj,purchased,"[many, function,   ]"
32443,  ,dep,device,[]
32444,purchased,ROOT,purchased,"[disappointed, instructions, device, quality, found, point, found]"
32445,becausse,amod,quality,[]
32446,sound,compound,quality,[]
32447,quality,dobj,purchased,"[becausse, sound,   ]"
32448,  ,dep,quality,[]
32449,found,advcl,purchased,[need]
32450,bluetooth,det,capability,[]
32451,capability,nsubj,need,[bluetooth]
32452,last,amod,night,[]
32453,night,npadvmod,need,[last]
32454,accident,nsubj,need,[  ]
32455,  ,dep,accident,[]
32456,need,ccomp,found,"[capability, night, accident, device]"
32457,manual,amod,device,[]
32458,detail,compound,functionality,[]
32459,functionality,compound,device,[detail]
32460,device,dobj,need,"[manual, functionality,   ]"
32461,  ,dep,device,[]
32462,least,amod,point,[]
32463,point,npadvmod,purchased,[least]
32464,found,advcl,purchased,[   ]
32465,   ,dep,found,[]
32466,echoplus,det,home,[]
32467,great,amod,home,[]
32468,extension,compound,home,[]
32469,echo,compound,dot,[]
32470,dot,compound,home,[echo]
32471,home,nmod,request,"[echoplus, great, extension, dot,   ]"
32472,  ,dep,home,[]
32473,little,advmod,disappointed,[]
32474,disappointed,amod,request,[little]
32475,alexa,compound,request,[]
32476,good,amod,information,[]
32477,information,compound,request,[good]
32478,request,nsubj,start,"[home, disappointed, alexa, information]"
32479,google,nsubj,start,[  ]
32480,  ,dep,google,[]
32481,start,ROOT,start,"[request, google, automation, impressive]"
32482,home,compound,automation,[]
32483,automation,dobj,start,"[home,   ]"
32484,  ,dep,automation,[]
32485,impressive,acomp,start,[ ]
32486, ,dep,impressive,[]
32487,never,neg,reason,[]
32488,alexa,nmod,reason,[]
32489,biggest,amod,reason,[]
32490,reason,nsubj,bought,"[never, alexa, biggest]"
32491,bought,ROOT,bought,"[reason, youtube, stopped, take]"
32492,youtube,dobj,bought,[]
32493,apparently,advmod,stopped,[]
32494,youtube,nsubj,stopped,[]
32495,stopped,ccomp,bought,"[apparently, youtube, supporting, worked]"
32496,supporting,xcomp,stopped,[get]
32497,get,xcomp,supporting,"[  , star, fault]"
32498,  ,dep,get,[]
32499,star,dobj,get,"[      , s]"
32500,      ,dep,star,[]
32501,s,case,star,[mostly]
32502,mostly,advmod,s,[]
32503,youtube,poss,fault,"[ , s]"
32504, ,dep,youtube,[]
32505,s,case,youtube,[]
32506,fault,dobj,get,[youtube]
32507,worked,advcl,stopped,"[around, using]"
32508,around,advmod,worked,[]
32509,using,advcl,worked,[tooth]
32510,cell,compound,phone,[]
32511,phone,nmod,tooth,[cell]
32512,blue,amod,tooth,[]
32513,tooth,dobj,using,"[phone, blue]"
32514,connected,amod,thing,[]
32515,hear,compound,thing,[]
32516,thing,nsubj,take,"[connected, hear]"
32517,still,advmod,take,[]
32518,take,ccomp,bought,"[thing, still, away, amazing, hear, playlist]"
32519,voice,compound,activate,[]
32520,activate,compound,purpose,[voice]
32521,purpose,npadvmod,away,[activate]
32522,away,advmod,take,[purpose]
32523,speaker,npadvmod,amazing,[]
32524,amazing,advcl,take,[speaker]
32525,hear,dep,take,[watch]
32526,youtube,nsubj,watch,[]
32527,watch,ccomp,hear,[youtube]
32528,later,amod,playlist,[]
32529,playlist,npadvmod,take,[later]
32530,awesome,amod,alexa,[    ]
32531,    ,dep,awesome,[]
32532,loving,amod,alexa,[]
32533,alexa,ROOT,alexa,"[awesome, loving]"
32534,habla,compound,espanol,[]
32535,espanol,ROOT,espanol,[habla]
32536,love,compound,music,[]
32537,music,compound,story,[love]
32538,story,ROOT,story,[music]
32539,fantastic,ROOT,fantastic,[ ]
32540, ,dep,fantastic,[]
32541,like,intj,take,[]
32542,take,advcl,want,[like]
32543,time,compound,skill,[]
32544,setup,compound,skill,[]
32545,skill,nsubj,want,"[time, setup]"
32546,want,ROOT,want,"[take, skill, use, hd]"
32547,simply,advmod,many,[]
32548,many,nsubj,use,"[simply,   ]"
32549,  ,dep,many,[]
32550,already,advmod,use,[]
32551,use,ccomp,want,"[many, already, briefing, daily, use]"
32552,music,compound,briefing,[]
32553,flash,compound,briefing,[]
32554,briefing,dobj,use,"[music, flash]"
32555,daily,advmod,use,[  ]
32556,  ,dep,daily,[]
32557,satisfied,amod,use,[  ]
32558,  ,dep,satisfied,[]
32559,use,dobj,use,"[satisfied, along]"
32560,along,prep,use,[kindle]
32561,alexa,compound,kindle,[]
32562,app,compound,kindle,[]
32563,kindle,pobj,along,"[alexa, app]"
32564,hd,conj,want,[]
32565,wish,nsubj,came,[]
32566,would,aux,came,[]
32567,came,ROOT,came,"[wish, would, lightbulb, work, enjoy]"
32568,lightbulb,acomp,came,[  ]
32569,  ,dep,lightbulb,[]
32570,otherwise,advmod,work,[]
32571,work,conj,came,"[otherwise, delivery]"
32572,great,amod,delivery,[  ]
32573,  ,dep,great,[]
32574,fast,amod,delivery,[]
32575,delivery,dobj,work,"[great, fast,   ]"
32576,  ,dep,delivery,[]
32577,enjoy,advcl,came,[using]
32578,using,xcomp,enjoy,[ ]
32579, ,dep,using,[]
32580,still,advmod,learn,[  ]
32581,  ,dep,still,[]
32582,learn,ROOT,learn,"[still, echo, pleased]"
32583,echo,dobj,learn,[  ]
32584,  ,dep,echo,[]
32585,far,advmod,pleased,[  ]
32586,  ,dep,far,[]
32587,quite,advmod,pleased,[]
32588,pleased,advcl,learn,"[far, quite,  ]"
32589, ,dep,pleased,[]
32590,love,ROOT,love,[ ]
32591, ,dep,love,[]
32592,receive,ROOT,receive,"[cpr, sound, learning]"
32593,cpr,advmod,receive,[]
32594,classical,amod,station,[]
32595,station,compound,sound,"[classical,   ]"
32596,  ,dep,station,[]
32597,great,amod,sound,[]
32598,sound,dobj,receive,"[station, great]"
32599,what,nsubj,learning,[]
32600,like,intj,learning,[]
32601,least,advmod,learning,[]
32602,learning,advcl,receive,"[what, like, least, mistake]"
32603,curve,compound,mistake,[]
32604,mistake,dobj,learning,"[curve,  ]"
32605, ,dep,mistake,[]
32606,sound,nsubj,find,[]
32607,well,advmod,find,[]
32608,find,ccomp,mean,"[sound, well, respond, forget]"
32609,useful,amod,respond,[]
32610,overall,amod,respond,[]
32611,frustrating,amod,respond,[  ]
32612,  ,dep,frustrating,[]
32613,respond,ccomp,find,"[useful, overall, frustrating]"
32614,forget,advcl,find,[turn]
32615,correct,amod,command,[]
32616,command,compound,turn,"[correct,     ]"
32617,    ,dep,command,[]
32618,alexa,npadvmod,turn,[  ]
32619,  ,dep,alexa,[]
32620,turn,ccomp,forget,"[command, alexa]"
32621,living,compound,room,[]
32622,room,compound,light,[living]
32623,light,compound,oops,"[room,     ]"
32624,    ,dep,light,[]
32625,oops,nsubj,mean,[light]
32626,mean,ROOT,mean,"[find, oops,   , light, realized]"
32627,  ,dep,mean,[]
32628,alexa,compound,turn,[]
32629,turn,compound,family,[alexa]
32630,family,compound,room,[turn]
32631,room,compound,light,[family]
32632,light,dobj,mean,"[room,     ]"
32633,    ,dep,light,[]
32634,also,advmod,realized,[]
32635,never,neg,realized,[]
32636,realized,conj,mean,"[also, never]"
32637,call,compound,time,[]
32638,couch,compound,sofa,[]
32639,sofa,compound,time,[couch]
32640,time,npadvmod,confused,"[call, sofa,   ]"
32641,  ,dep,time,[]
32642,unfortunately,advmod,confused,[]
32643,alexa,npadvmod,confused,[]
32644,confused,ROOT,confused,"[time, unfortunately, alexa, sit]"
32645,changing,amod,name,[]
32646,name,nsubj,sit,[changing]
32647,sit,xcomp,confused,"[name,  ]"
32648, ,dep,sit,[]
32649,broke,ROOT,broke,[get]
32650,ca,aux,get,[]
32651,n,advmod,get,[]
32652,t,nsubj,get,[]
32653,get,advcl,broke,"[ca, n, t, help]"
32654,help,dobj,get,[fixing]
32655,fixing,acl,help,[replacing]
32656,replacing,xcomp,fixing,[]
32657,  ,dep,unable,[still]
32658,still,advmod,  ,[]
32659,unable,advmod,play,"[  , connect]"
32660,connect,xcomp,unable,"[device, say]"
32661,device,dobj,connect,[]
32662,although,mark,say,[]
32663,say,advcl,connect,"[although, built, bought]"
32664,built,xcomp,say,[]
32665,hub,npadvmod,bought,[  ]
32666,  ,dep,hub,[]
32667,bought,ccomp,say,"[hub, device]"
32668,bridge,npadvmod,connect,[]
32669,connect,compound,device,[bridge]
32670,device,dobj,bought,"[connect, thinking]"
32671,thinking,acl,device,[sync]
32672,everything,nsubj,sync,[]
32673,would,aux,sync,[]
32674,sync,ccomp,thinking,"[everything, would, device]"
32675,device,dobj,sync,[discovered]
32676,still,advmod,discovered,[]
32677,discovered,acl,device,"[still, via]"
32678,via,prep,discovered,[echo]
32679,echo,pobj,via,"[plus, looking]"
32680,plus,cc,echo,[]
32681,looking,conj,echo,[feature]
32682,forward,amod,feature,[]
32683,feature,dobj,looking,"[forward,   , able]"
32684,  ,dep,feature,[]
32685,able,amod,feature,[]
32686,play,csubj,check,"[unable, music]"
32687,music,dobj,play,[  ]
32688,  ,dep,music,[]
32689,check,ROOT,check,"[play, weather, etc]"
32690,weather,dobj,check,[]
32691,etc,prep,check,[fine]
32692,fine,pobj,etc,[ ]
32693, ,dep,fine,[]
32694,sound,ROOT,sound,"[hub, yet]"
32695,great,amod,hub,[]
32696,used,amod,hub,[]
32697,hub,dobj,sound,"[great, used]"
32698,yet,advmod,sound,[]
32699,expected,csubj,responds,[  ]
32700,  ,dep,expected,[]
32701,responds,advcl,bought,[expected]
32702,fast,advmod,given,[]
32703,given,det,connect,"[fast, command]"
32704,command,dep,given,[]
32705,easy,amod,connect,[]
32706,connect,nsubj,bought,"[given, easy, via]"
32707,via,prep,connect,[app]
32708,amazon,compound,app,[]
32709,app,pobj,via,"[amazon,   ]"
32710,  ,dep,app,[]
32711,also,advmod,bought,[]
32712,bought,ROOT,bought,"[responds, connect, also, bulb, put, tell]"
32713,philipshue,amod,bulb,[]
32714,light,amod,bulb,[]
32715,bulb,dobj,bought,"[philipshue, light]"
32716,put,advcl,bought,[lamp]
32717,lamp,dobj,put,[]
32718,tell,advcl,bought,[connected]
32719,alexa,compound,find,[]
32720,find,compound,device,[alexa]
32721,device,npadvmod,connected,[find]
32722,connected,ccomp,tell,"[device, command]"
32723,lamp,compound,turn,[]
32724,turn,compound,voice,[lamp]
32725,voice,compound,command,[turn]
32726,command,dobj,connected,"[voice,  ]"
32727, ,dep,command,[]
32728,sound,ROOT,sound,[better]
32729,better,advmod,sound,[]
32730,conversation,dep,command,"[person, fact]"
32731,another,det,person,[]
32732,person,npadvmod,conversation,"[another,   ]"
32733,  ,dep,person,[]
32734,instantaneous,amod,fact,[]
32735,response,compound,fact,[  ]
32736,  ,dep,response,[]
32737,fact,npadvmod,conversation,"[instantaneous, response]"
32738,catch,compound,command,[]
32739,command,nsubj,re,"[conversation, catch]"
32740,even,advmod,re,[ ]
32741, ,dep,even,[]
32742,re,ROOT,re,"[command, even, far, amazing]"
32743,far,advmod,re,[]
32744,simply,advmod,amazing,[]
32745,amazing,conj,re,"[simply,  ]"
32746, ,dep,amazing,[]
32747,although,mark,bother,[]
32748,n,nsubj,bother,[]
32749,t,nsubj,taken,[]
32750,taken,advcl,bother,"[t, advantage, s, feature]"
32751,advantage,dobj,taken,[]
32752,many,amod,s,[]
32753,echo,compound,s,[ ]
32754, ,dep,echo,[]
32755,s,dative,taken,"[many, echo]"
32756,feature,dobj,taken,[one]
32757,one,nummod,feature,[]
32758,bother,advcl,said,"[although, n, taken,   , start, n]"
32759,  ,dep,bother,[]
32760,start,xcomp,bother,[talking]
32761,talking,xcomp,start,[]
32762,even,advmod,n,[]
32763,n,advmod,bother,[even]
32764,t,nsubj,said,[]
32765,said,ROOT,said,"[bother, t, change]"
32766,anything,nsubj,change,[echo]
32767,even,advmod,close,[]
32768,close,amod,word,[even]
32769,wake,compound,word,[]
32770,word,compound,echo,"[close, wake,   ]"
32771,  ,dep,word,[]
32772,echo,relcl,anything,"[word,   ]"
32773,  ,dep,echo,[]
32774,change,ccomp,said,"[anything, conflict, device]"
32775,alexa,amod,conflict,[]
32776,due,amod,conflict,[]
32777,conflict,dobj,change,"[alexa, due]"
32778,another,det,device,[]
32779,device,dobj,change,"[another,  ]"
32780, ,dep,device,[]
32781,echo,ROOT,echo,"[plus, play]"
32782,plus,cc,echo,[]
32783,straight,advmod,play,[]
32784,forward,advmod,easy,[]
32785,easy,amod,use,[forward]
32786,use,nsubj,play,"[easy,   ]"
32787,  ,dep,use,[]
32788,play,conj,echo,"[straight, use, thing]"
32789,great,amod,thing,[]
32790,sounding,amod,music,[]
32791,music,compound,lot,[sounding]
32792,lot,compound,thing,[music]
32793,thing,dobj,play,"[great, lot,   , learning]"
32794,  ,dep,thing,[]
32795,still,advmod,learning,[]
32796,learning,acl,thing,"[still,   , working]"
32797,  ,dep,learning,[]
32798,working,xcomp,learning,"[well, far]"
32799,well,advmod,working,[]
32800,far,advmod,working,[ ]
32801, ,dep,far,[]
32802,used,ROOT,used,"[week, like, like, become]"
32803,last,amod,week,[  ]
32804,  ,dep,last,[]
32805,week,npadvmod,used,"[last,   ]"
32806,  ,dep,week,[]
32807,like,prep,used,"[  , child]"
32808,  ,dep,like,[]
32809,child,pobj,like,[]
32810,also,advmod,like,[]
32811,like,prep,used,"[also,   , alexa]"
32812,  ,dep,like,[]
32813,alexa,pobj,like,[]
32814,become,ccomp,used,[family]
32815,part,compound,family,[]
32816,family,attr,become,"[part,  ]"
32817, ,dep,family,[]
32818,terrible,nsubj,stopped,[  ]
32819,  ,dep,terrible,[]
32820,stopped,ROOT,stopped,"[terrible, working]"
32821,working,xcomp,stopped,[day]
32822,one,nummod,day,[]
32823,day,npadvmod,working,"[one,  ]"
32824, ,dep,day,[]
32825,better,advmod,simple,[]
32826,sound,amod,simple,[]
32827,echo,compound,simple,[]
32828,dot,compound,simple,[  ]
32829,  ,dep,dot,[]
32830,simple,amod,set,"[better, sound, echo, dot]"
32831,set,ROOT,set,"[simple,   , minute]"
32832,  ,dep,set,[]
32833,le,nmod,minute,[  ]
32834,  ,dep,le,[]
32835,minute,dobj,set,"[le,  ]"
32836, ,dep,minute,[]
32837,nice,amod,toy,[]
32838,toy,ROOT,toy,"[nice, around]"
32839,around,prep,toy,[ ]
32840, ,dep,around,[]
32841,speak,intj,bought,[]
32842,spanish,nsubj,bought,[      ]
32843,      ,dep,spanish,[]
32844,bought,ROOT,bought,"[speak, spanish, grandmother, talk]"
32845,grandmother,dobj,bought,[]
32846,someone,nsubj,talk,[]
32847,talk,ccomp,bought,"[someone,   , around]"
32848,  ,dep,talk,[]
32849,around,prep,talk,"[          , spanish]"
32850,          ,dep,around,[]
32851,spanish,pobj,around,[ ]
32852, ,dep,spanish,[]
32853,love,ROOT,love,[thing]
32854,cool,amod,thing,[]
32855,thing,dobj,love,"[cool,  ]"
32856, ,dep,thing,[]
32857,great,amod,product,[]
32858,product,ROOT,product,[great]
32859,like,intj,evaluate,"[  , working]"
32860,  ,dep,like,[]
32861,still,advmod,working,[]
32862,working,pcomp,like,"[still, discovery, really]"
32863,discovery,dobj,working,[  ]
32864,  ,dep,discovery,[]
32865,really,advmod,working,[]
